Date,Open,High,Low,Close,Adj Close,Volume
30/07/2019,501.174042,501.174042,491.249786,498.692963,451.167999,792806
31/07/2019,498.692963,503.65509,493.730865,501.174042,453.412567,3472306
01/08/2019,501.174042,518.541443,501.174042,516.060364,466.88028,5191128
02/08/2019,516.060364,553.276306,508.617218,550.795227,498.304962,27895742
05/08/2019,550.795227,553.276306,533.427795,538.389954,487.081879,4358621
06/08/2019,528.465698,538.389954,506.136169,530.946777,480.348053,8068730
07/08/2019,530.946777,550.795227,530.946777,533.427795,482.592621,7977438
08/08/2019,533.427795,543.352051,525.984619,543.352051,491.571106,2877802
09/08/2019,543.352051,578.086914,535.908875,570.643677,516.261841,14327346
12/08/2019,570.643677,583.049011,570.643677,573.124756,518.506409,2833063
13/08/2019,570.643677,583.049011,545.83313,545.83313,493.815704,10789946
14/08/2019,558.238403,565.68158,550.795227,563.2005,509.527985,11397751
15/08/2019,548.314148,560.719482,528.465698,560.719482,507.283417,11126899
16/08/2019,560.719482,583.049011,560.719482,583.049011,527.484924,7006079
19/08/2019,585.53009,595.454285,583.049011,583.049011,527.484924,8195288
20/08/2019,583.049011,592.973267,568.162659,573.124756,518.506409,6615520
21/08/2019,573.124756,588.011108,573.124756,580.567932,525.240356,6550225
22/08/2019,580.567932,590.492188,580.567932,580.567932,525.240356,9098330
23/08/2019,580.567932,610.340637,580.567932,595.454285,538.708008,32889576
26/08/2019,590.492188,602.897461,588.011108,597.935364,540.952637,7010714
27/08/2019,597.935364,602.897461,580.567932,580.567932,525.240356,8035679
28/08/2019,580.567932,595.454285,580.567932,592.973267,536.463501,6038549
29/08/2019,592.973267,595.454285,583.049011,583.049011,527.484924,4020459
30/08/2019,585.53009,635.151245,583.049011,635.151245,574.621948,33494157
02/09/2019,635.151245,640.113403,612.821716,627.708069,567.888062,11641800
03/09/2019,627.708069,645.0755,615.302795,622.745972,563.398865,7296882
04/09/2019,622.745972,630.189148,620.264893,620.264893,561.154236,2922138
05/09/2019,622.745972,632.670166,602.897461,610.340637,552.17572,8693060
06/09/2019,612.821716,625.22699,600.416443,605.37854,547.686523,6784198
09/09/2019,610.340637,612.821716,602.897461,610.340637,552.17572,6313834
10/09/2019,610.340637,630.189148,588.011108,597.935364,540.952637,11810478
11/09/2019,597.935364,605.37854,590.492188,600.416443,543.197327,9720040
12/09/2019,602.897461,605.37854,590.492188,590.492188,534.218811,4892264
13/09/2019,597.935364,600.416443,555.757324,595.454285,538.708008,14777355
16/09/2019,595.454285,595.454285,573.124756,573.124756,518.506409,9157176
17/09/2019,573.124756,585.53009,560.719482,573.124756,518.506409,7483697
18/09/2019,575.605835,595.454285,575.605835,588.011108,531.974182,4641162
19/09/2019,590.492188,592.973267,578.086914,578.086914,522.995789,1709954
20/09/2019,580.567932,590.492188,565.68158,578.086914,522.995789,4392478
23/09/2019,578.086914,578.086914,563.2005,563.2005,509.527985,7834757
24/09/2019,568.162659,568.162659,545.83313,545.83313,493.815704,8387545
25/09/2019,545.83313,585.53009,543.352051,585.53009,529.729614,10898770
26/09/2019,585.53009,595.454285,585.53009,592.973267,536.463501,5108905
27/09/2019,592.973267,595.454285,580.567932,590.492188,534.218811,5447269
30/09/2019,595.454285,617.783813,573.124756,610.340637,552.17572,25505030
01/10/2019,610.340637,615.302795,600.416443,605.37854,547.686523,7479465
02/10/2019,605.37854,607.859619,595.454285,597.935364,540.952637,7107447
03/10/2019,595.454285,602.897461,575.605835,595.454285,538.708008,4193974
04/10/2019,595.454285,597.935364,585.53009,595.454285,538.708008,7172137
07/10/2019,595.454285,597.935364,583.049011,595.454285,538.708008,2969094
08/10/2019,595.454285,595.454285,580.567932,580.567932,525.240356,2080159
09/10/2019,585.53009,585.53009,575.605835,578.086914,522.995789,733154
10/10/2019,578.086914,588.011108,575.605835,575.605835,520.75116,1451194
11/10/2019,580.567932,595.454285,575.605835,595.454285,538.708008,2924153
14/10/2019,595.454285,600.416443,588.011108,588.011108,531.974182,2602315
15/10/2019,588.011108,595.454285,585.53009,588.011108,531.974182,2501149
16/10/2019,588.011108,592.973267,580.567932,592.973267,536.463501,2942895
17/10/2019,592.973267,595.454285,565.68158,568.162659,514.017273,12109543
18/10/2019,568.162659,578.086914,563.2005,565.68158,511.772644,8807930
21/10/2019,570.643677,570.643677,545.83313,550.795227,498.304962,12751003
22/10/2019,550.795227,570.643677,548.314148,555.757324,502.794128,17788367
23/10/2019,555.757324,573.124756,553.276306,573.124756,518.506409,13069416
24/10/2019,573.124756,590.492188,570.643677,588.011108,531.974182,22105071
25/10/2019,590.492188,617.783813,588.011108,607.859619,549.931152,28634338
28/10/2019,607.859619,635.151245,607.859619,612.821716,554.420349,29426338
29/10/2019,612.821716,620.264893,607.859619,610.340637,552.17572,11118636
30/10/2019,610.340637,612.821716,605.37854,612.821716,554.420349,7278341
31/10/2019,612.821716,615.302795,607.859619,610.340637,552.17572,14665105
01/11/2019,607.859619,620.264893,595.454285,620.264893,571.373901,9611014
04/11/2019,620.264893,625.22699,607.859619,612.821716,564.517395,10623082
05/11/2019,612.821716,615.302795,595.454285,602.897461,555.375427,7428479
06/11/2019,605.37854,607.859619,597.935364,600.416443,553.089966,3836868
07/11/2019,600.416443,612.821716,592.973267,612.821716,564.517395,7769462
08/11/2019,612.821716,617.783813,595.454285,595.454285,548.518982,8135032
11/11/2019,595.454285,602.897461,583.049011,585.53009,539.376953,12306234
12/11/2019,585.53009,597.935364,575.605835,592.973267,546.233521,7379306
13/11/2019,595.454285,607.859619,590.492188,597.935364,550.804382,6654011
14/11/2019,600.416443,605.37854,588.011108,592.973267,546.233521,7007892
15/11/2019,592.973267,602.897461,592.973267,602.897461,555.375427,5398499
18/11/2019,602.897461,607.859619,595.454285,602.897461,555.375427,3017259
19/11/2019,605.37854,607.859619,597.935364,602.897461,555.375427,2657735
20/11/2019,602.897461,605.37854,597.935364,602.897461,555.375427,3145631
21/11/2019,602.897461,620.264893,600.416443,620.264893,571.373901,11574490
22/11/2019,620.264893,642.594421,620.264893,632.670166,582.801392,19252862
25/11/2019,635.151245,640.113403,607.859619,610.340637,562.231873,7275520
26/11/2019,610.340637,622.745972,597.935364,622.745972,573.659424,6067367
27/11/2019,622.745972,630.189148,612.821716,620.264893,571.373901,2862889
28/11/2019,620.264893,625.22699,615.302795,617.783813,569.08844,5756209
29/11/2019,620.264893,632.670166,620.264893,630.189148,580.51593,5059733
02/12/2019,632.670166,672.367126,630.189148,642.594421,591.943298,22051062
03/12/2019,642.594421,647.55658,625.22699,630.189148,580.51593,8306531
04/12/2019,632.670166,647.55658,627.708069,640.113403,589.657837,8465536
05/12/2019,640.113403,657.480774,627.708069,627.708069,578.230347,7147349
06/12/2019,627.708069,635.151245,600.416443,627.708069,578.230347,17010071
09/12/2019,627.708069,627.708069,615.302795,625.22699,575.944885,2832862
10/12/2019,630.189148,630.189148,615.302795,615.302795,566.802917,6454903
11/12/2019,615.302795,627.708069,612.821716,625.22699,575.944885,1267200
12/12/2019,625.22699,625.22699,617.783813,622.745972,573.659424,1888910
13/12/2019,625.22699,642.594421,620.264893,632.670166,582.801392,7812790
16/12/2019,632.670166,642.594421,630.189148,632.670166,582.801392,4058749
17/12/2019,635.151245,642.594421,632.670166,642.594421,591.943298,8128785
18/12/2019,642.594421,645.0755,630.189148,637.632324,587.372375,5759837
19/12/2019,637.632324,642.594421,637.632324,640.113403,589.657837,3066230
20/12/2019,640.113403,642.594421,625.22699,630.189148,580.51593,4778805
